topk_requested,topk,topk_clamped,batch_size,s_q,s_kv,num_tiles,num_waves,wave_fill,k_tiles,d_qk,d_v,h_q,fwd_flop,fwd_mem_vol_bytes,latency_us,latency_us_min,latency_us_max,latency_spread_frac,tflops,mem_bw_tbps,roofline_pred_us,roofline_rel_err,roofline_bound
1024,1024,False,1,1,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.45596666666618,19.430299999999963,19.501733333326943,0.003671538636492823,14.659393536516156,0.0749474968261683,0.18227200000000002,0.9906315628967289,memory
1024,1024,False,1,1,4096,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.625533333333674,19.59469999999999,19.648000000000053,0.002715849760349361,14.532734838628336,0.07429994259179239,0.18227200000000002,0.990712507176026,memory
1024,1024,False,1,1,8192,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.297066666666282,19.283133333333577,19.33009999999964,0.0024338759603911744,14.78010502459816,0.07556464540379344,0.18227200000000002,0.9905544193245258,memory
1024,1024,False,1,1,16384,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.874099999999483,19.837933333333105,19.896500000000255,0.002946883967935774,14.350972974877225,0.07337066835731117,0.18227200000000002,0.9908286664553361,memory
1024,1024,False,1,1,32768,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.533833333333074,19.523199999999456,19.545699999999936,0.001151847648975708,14.600957586410098,0.0746487376602998,0.18227200000000002,0.9906689077924625,memory
1024,1024,False,1,1,65536,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.88589999999971,19.876166666666848,19.9741666666663,0.004928114895451249,14.342457319005131,0.07332713128397615,0.18227200000000002,0.9908341085895029,memory
1024,1024,False,1,1,131072,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.56913333333266,19.505133333332786,19.573366666667177,0.0034867836082534734,14.574619485789349,0.0745140817000949,0.18227200000000002,0.9906857397874881,memory
1024,1024,False,32,32,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.09000000000042,19.084833333333123,19.13283333333331,0.0025144054478881883,478.0935308538397,2.4442971189103706,5.8327040000000006,0.6944628601362036,memory
1024,1024,False,32,32,4096,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.40466666666664,19.385566666666517,19.439966666666905,0.0028034493421026053,470.3407515717875,2.4046603222592533,5.8327040000000006,0.6994174597175933,memory
1024,1024,False,32,32,8192,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.342933333333406,19.306600000000383,19.361000000000406,0.0028123966030673157,471.8418528730544,2.4123348406308502,5.8327040000000006,0.6984581449211437,memory
1024,1024,False,32,32,16384,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.54883333333305,19.524299999999688,19.56156666666696,0.0019063371215984287,466.8721323864237,2.386926687867171,5.8327040000000006,0.7016341640166036,memory
1024,1024,False,32,32,32768,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.47306666666719,19.44963333333307,19.4804000000004,0.0015799600131802332,468.68865907097774,2.3962138475021266,5.8327040000000006,0.7004732690622342,memory
1024,1024,False,32,32,65536,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.496399999999678,19.489933333332836,19.52113333333337,0.001600295439185342,468.1277314786397,2.3933460536304536,5.8327040000000006,0.7008317432961934,memory
1024,1024,False,32,32,131072,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.594766666666782,19.579599999999598,19.640499999999957,0.0031079727070165057,465.7777078573673,2.3813313418718804,5.8327040000000006,0.7023335822660149,memory
1024,1024,False,64,64,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.76366666666652,20.726300000000535,20.77340000000021,0.002268385481033056,879.1130825319931,4.494546435279607,11.665408000000001,0.43818169559004916,memory
1024,1024,False,64,64,4096,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.874666666666513,20.872566666666728,20.902533333332915,0.001435551865076669,874.4384425140586,4.470646908533503,11.665408000000001,0.4411691364333122,memory
1024,1024,False,64,64,8192,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.95366666666696,20.90339999999989,20.970666666666666,0.0032102575523825214,871.141614419103,4.453791571880754,11.665408000000001,0.44327605351490573,memory
1024,1024,False,64,64,16384,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.9451000000002,20.93856666666695,20.949333333333655,0.0005140422660528584,871.4979163622912,4.455613198313644,11.665408000000001,0.4430483502107945,memory
1024,1024,False,64,64,32768,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.945200000000273,20.89506666666664,21.05596666666728,0.007681950995962897,871.4937555143784,4.45559192559626,11.665408000000001,0.44305100930046754,memory
1024,1024,False,64,64,65536,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,21.110399999999466,21.092200000000215,21.135999999999864,0.0020748067303153856,864.6738578141799,4.420724571775161,11.665408000000001,0.44740942852810484,memory
1024,1024,False,64,64,131072,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,21.004733333333434,20.985599999999657,21.039966666667173,0.0025883054930881033,869.0236966271052,4.442963522507603,11.665408000000001,0.4446295596865495,memory
1024,1024,False,74,74,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.4357999999997,21.430466666666092,21.460300000000057,0.0013917527376615282,984.6022881348164,5.0338696946230845,13.488128,0.3707662881721144,memory
1024,1024,False,74,74,4096,74,1,1.0,8,576,512,128,21105737728,107905024,21.439066666666857,21.4122333333335,21.50946666666661,0.004535334249614813,984.4522644642403,5.033102684818324,13.488128,0.3708621643977094,memory
1024,1024,False,74,74,8192,74,1,1.0,8,576,512,128,21105737728,107905024,21.62136666666698,21.592599999999525,21.65646666666618,0.002953868164361487,976.1518803775753,4.9906662082723,13.488128,0.37616672396596246,memory
1024,1024,False,74,74,16384,74,1,1.0,8,576,512,128,21105737728,107905024,21.551966666666708,21.533866666666547,21.572133333333724,0.001775553352463148,979.2952102437655,5.006736771122194,13.488128,0.37415790360972584,memory
1024,1024,False,74,74,32768,74,1,1.0,8,576,512,128,21105737728,107905024,21.666100000000363,21.633066666667002,21.67033333333268,0.001720044985746263,974.1364494763546,4.980362132547999,13.488128,0.3774547334315001,memory
1024,1024,False,74,74,65536,74,1,1.0,8,576,512,128,21105737728,107905024,21.60413333333347,21.598933333333402,21.6202666666664,0.0009874653615510513,976.9305439082584,4.994647197141257,13.488128,0.3756691003573429,memory
1024,1024,False,74,74,131072,74,1,1.0,8,576,512,128,21105737728,107905024,21.716200000000327,21.690733333333146,21.792033333333503,0.004664720347038437,971.8890840938875,4.9688722704708175,13.488128,0.3788909661911478,memory
1024,1024,False,128,128,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.54299999999975,40.456466666665804,40.54393333333305,0.0021573802300580923,900.4568486791857,4.60366840145034,23.330816000000002,0.42454144981870745,memory
1024,1024,False,128,128,4096,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,41.042166666666695,40.93649999999943,41.0634666666668,0.003093566372812641,889.5052328134067,4.547677258754204,23.330816000000002,0.43154034265572444,memory
1024,1024,False,128,128,8192,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.767900000000324,40.74993333333298,40.80323333333315,0.0013074011661175552,895.4893927820591,4.578271826608644,23.330816000000002,0.42771602167391953,memory
1024,1024,False,128,128,16384,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.845833333332784,40.843766666666326,40.973966666666975,0.0031875956340055855,893.7808103478646,4.569536541874997,23.330816000000002,0.4288079322656253,memory
1024,1024,False,128,128,32768,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.870366666667124,40.80856666666634,40.89809999999995,0.0021906662610550777,893.2442988277471,4.566793577416676,23.330816000000002,0.4291508028229155,memory
1024,1024,False,128,128,65536,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.95466666666657,40.88416666666613,41.003700000000364,0.002918674306572292,891.4056684464146,4.5573934106003495,23.330816000000002,0.4303258236749563,memory
1024,1024,False,128,128,131072,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.87240000000037,40.76576666666682,40.94826666666624,0.004465115823867028,893.1998614223698,4.566566387097364,23.330816000000002,0.42917920161282946,memory
1024,1024,False,148,148,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.67473333333361,41.54660000000033,41.76209999999984,0.005170998894602217,1012.8793175081237,5.178438606285788,26.976256,0.35269517421427643,memory
1024,1024,False,148,148,4096,148,2,1.0,8,576,512,128,42211475456,215810048,41.99349999999976,41.96679999999981,42.03306666666701,0.0015780219954803808,1005.1906951313952,5.139129817709913,26.976256,0.35760877278626085,memory
1024,1024,False,148,148,8192,148,2,1.0,8,576,512,128,42211475456,215810048,41.943400000000295,41.861333333333974,41.97753333333363,0.0027704001106171093,1006.3913620736446,5.145268337807581,26.976256,0.35684145777405235,memory
1024,1024,False,148,148,16384,148,2,1.0,8,576,512,128,42211475456,215810048,42.12483333333321,41.96363333333356,42.17706666666714,0.0050666867129105534,1002.0567944324241,5.12310746234408,26.976256,0.35961156720698995,memory
1024,1024,False,148,148,32768,148,2,1.0,8,576,512,128,42211475456,215810048,41.966866666667094,41.95953333333341,42.06386666666669,0.002486088231508264,1005.8286169247701,5.142391251511061,26.976256,0.3572010935611174,memory
1024,1024,False,148,148,65536,148,2,1.0,8,576,512,128,42211475456,215810048,42.06083333333299,42.04796666666671,42.09696666666681,0.0011649792958635565,1003.581529673299,5.13090281140416,26.976256,0.35863714857448004,memory
1024,1024,False,148,148,131072,148,2,1.0,8,576,512,128,42211475456,215810048,41.94333333333343,41.901933333333005,42.05546666666664,0.0036604943177373198,1006.3929616784527,5.145276515934184,26.976256,0.35684043550822686,memory
1024,1024,False,256,256,1024,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.53023333333331,78.50973333333293,78.69656666666651,0.0023791261709429174,929.7622193745341,4.753494802638645,46.661632000000004,0.4058131496701693,memory
1024,1024,False,256,256,4096,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.81276666666584,78.70810000000031,78.86186666666612,0.0019510375433989253,926.4291449228077,4.73645415315544,46.661632000000004,0.40794323085557005,memory
1024,1024,False,256,256,8192,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.51299999999996,78.38820000000084,78.63356666666654,0.003125172476732608,929.9662989823346,4.754538178390842,46.661632000000004,0.4056827277011447,memory
1024,1024,False,256,256,16384,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.93446666666703,78.90123333333362,78.98253333333311,0.001029968319705209,925.0007900900029,4.729151557790112,46.661632000000004,0.4088560552762361,memory
1024,1024,False,256,256,32768,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.65386666666606,78.65163333333352,78.77433333333367,0.0015599995931561083,928.3007578182284,4.746022946106521,46.661632000000004,0.4067471317366848,memory
1024,1024,False,256,256,65536,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.71023333333378,78.69866666666653,78.73276666666649,0.00043323464504987344,927.6359748901722,4.742624182285462,46.661632000000004,0.4071719772143172,memory
1024,1024,False,256,256,131072,256,4,0.8648648648648649,8,576,512,128,73014444032,373293056,78.68569999999953,78.61326666666658,78.7198666666672,0.0013547569634714746,927.925201555053,4.744102880192999,46.661632000000004,0.40698713997587516,memory
1024,1024,False,296,296,1024,296,4,1.0,8,576,512,128,84422950912,431620096,80.08006666666633,79.99570000000011,80.09809999999955,0.0012787202141786296,1054.231776097427,5.389856851601046,53.952512,0.32626789354986924,memory
1024,1024,False,296,296,4096,296,4,1.0,8,576,512,128,84422950912,431620096,80.08000000000007,80.01383333333304,80.1035333333333,0.0011201298701332561,1054.2326537462527,5.389861338661334,53.952512,0.32626733266733327,memory
1024,1024,False,296,296,8192,296,4,1.0,8,576,512,128,84422950912,431620096,80.95676666666677,80.7711333333328,80.98136666666674,0.002596859311335514,1042.8152505102503,5.331488815223592,53.952512,0.333563898097051,memory
1024,1024,False,296,296,16384,296,4,1.0,8,576,512,128,84422950912,431620096,80.62060000000038,80.58023333333341,80.75206666666637,0.002131382467172871,1047.163515429054,5.353719719277677,53.952512,0.3307850350902902,memory
1024,1024,False,296,296,32768,296,4,1.0,8,576,512,128,84422950912,431620096,80.26993333333313,80.24423333333345,80.35410000000014,0.0013687150605999965,1051.7381466036707,5.37710794162033,53.952512,0.3278615072974588,memory
1024,1024,False,296,296,65536,296,4,1.0,8,576,512,128,84422950912,431620096,80.63243333333317,80.63140000000011,80.69963333333295,0.0008462268904965785,1047.009837381403,5.352934026134243,53.952512,0.3308832467332197,memory
1024,1024,False,296,296,131072,296,4,1.0,8,576,512,128,84422950912,431620096,80.71036666666701,80.6964333333332,80.72103333333354,0.000304793560186918,1045.9988524233313,5.347765272614688,53.952512,0.33152934092316394,memory
2048,2048,False,1,1,4096,1,1,0.013513513513513514,16,576,512,128,570425344,2637824,31.652233333333665,31.61069999999954,31.798433333333115,0.005931124396706297,18.021645992331052,0.08333768970488567,0.329728,0.9895827887868892,memory
2048,2048,False,1,1,8192,1,1,0.013513513513513514,16,576,512,128,570425344,2637824,32.30936666666707,32.25170000000022,32.31463333333332,0.0019478355605783418,17.655107569424953,0.08164270216789457,0.329728,0.9897946622290131,memory
2048,2048,False,1,1,16384,1,1,0.013513513513513514,16,576,512,128,570425344,2637824,32.13443333333336,32.13116666666658,32.14820000000003,0.0005300648421823314,17.751218391901507,0.08208714846898388,0.329728,0.989739106441377,memory
2048,2048,False,1,1,32768,1,1,0.013513513513513514,16,576,512,128,570425344,2637824,32.61763333333371,32.613399999999835,32.68263333333365,0.002122573781680964,17.48825054750529,0.08087110346244118,0.329728,0.9898911120671948,memory
2048,2048,False,1,1,65536,1,1,0.013513513513513514,16,576,512,128,570425344,2637824,32.28373333333331,32.276166666666974,32.315599999999996,0.0012214613757917342,17.669125751668552,0.08170752659750222,0.329728,0.9897865591753122,memory
2048,2048,False,1,1,131072,1,1,0.013513513513513514,16,576,512,128,570425344,2637824,32.69966666666623,32.669833333333415,32.72106666666631,0.0015667845747529784,17.444377944729535,0.08066822291766587,0.329728,0.9899164721352918,memory
2048,2048,False,32,32,4096,32,1,0.43243243243243246,16,576,512,128,18253611008,84410368,31.159466666666347,31.129600000000387,31.166933333333635,0.0011981377516061306,585.812690675071,2.7089798712858006,10.551296,0.6613775160892749,memory
2048,2048,False,32,32,8192,32,1,0.43243243243243246,16,576,512,128,18253611008,84410368,31.404833333333052,31.36539999999988,31.48373333333294,0.003767997495068972,581.2357229938119,2.6878145508388016,10.551296,0.6640231811451498,memory
2048,2048,False,32,32,16384,32,1,0.43243243243243246,16,576,512,128,18253611008,84410368,31.571166666666905,31.491200000000223,31.576599999999946,0.002704999815223354,578.1734707723776,2.6736537452422104,10.551296,0.6657932818447236,memory
2048,2048,False,32,32,32768,32,1,0.43243243243243246,16,576,512,128,18253611008,84410368,31.570100000000053,31.555199999999157,31.573266666666548,0.0005722714425165158,578.1930056604183,2.673744080633253,10.551296,0.6657819899208434,memory
2048,2048,False,32,32,65536,32,1,0.43243243243243246,16,576,512,128,18253611008,84410368,31.767533333332857,31.721533333333834,31.801600000000228,0.0025203929378546713,574.5995704629341,2.6571269199371663,10.551296,0.6678591350078542,memory
2048,2048,False,32,32,131072,32,1,0.43243243243243246,16,576,512,128,18253611008,84410368,31.65549999999986,31.654433333333618,31.70453333333379,0.0015826633602429613,576.6331603670794,2.6665308714125624,10.551296,0.6666836410734297,memory
2048,2048,False,64,64,4096,64,1,0.8648648648648649,16,576,512,128,36507222016,168820736,33.259599999999814,33.2255333333335,33.272499999999845,0.00141212361743205,1097.6446504467945,5.075849859890106,21.102592,0.3655187675137368,memory
2048,2048,False,64,64,8192,64,1,0.8648648648648649,16,576,512,128,36507222016,168820736,33.29273333333331,33.281966666667344,33.41216666666651,0.003910763309686223,1096.552261134062,5.070798312344439,21.102592,0.366150210956945,memory
2048,2048,False,64,64,16384,64,1,0.8648648648648649,16,576,512,128,36507222016,168820736,33.39083333333285,33.381333333333245,33.44206666666694,0.0018188624622635285,1093.330665082748,5.055900651376449,21.102592,0.36801241857794387,memory
2048,2048,False,64,64,32768,64,1,0.8648648648648649,16,576,512,128,36507222016,168820736,33.572200000000166,33.53723333333274,33.630933333333154,0.0027909996961893555,1087.4241788146091,5.028587223953127,21.102592,0.3714265970058591,memory
