batch_size,s_q,s_kv,topk,num_tiles,num_waves,wave_fill,k_tiles,d_qk,d_v,h_q,fwd_flop,fwd_mem_vol_bytes,latency_us,latency_us_min,latency_us_max,latency_spread_frac,tflops,mem_bw_tbps,roofline_pred_us,roofline_rel_err,roofline_bound
1,1,1024,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.44533333331592,19.40803333333333,19.47196666666691,0.0032878496983152353,14.667409764138203,0.07498848052667165,0.18227200000000002,0.990626439934166,memory
1,1,4096,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.682199999999725,19.621266666666948,19.702333333333186,0.004118780759581707,14.490893904136936,0.07408602696853098,0.18227200000000002,0.9907392466289336,memory
1,1,8192,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.29063333333273,19.212700000000332,19.34076666666698,0.006638800523223879,14.785034118458645,0.07558984584919688,0.18227200000000002,0.9905512692688504,memory
1,1,16384,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.82076666666625,19.807000000000087,19.88693333333315,0.004032807341781252,14.389588293759543,0.07356809272429914,0.18227200000000002,0.9908039884094626,memory
1,1,32768,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.515733333333575,19.496533333333595,19.56576666666653,0.0035475650415185706,14.614499344118752,0.07471797114123213,0.18227200000000002,0.990660253607346,memory
1,1,65536,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.894433333333073,19.86880000000009,19.95946666666673,0.004557388750285744,14.336305398662795,0.0732956790257921,0.18227200000000002,0.990838040121776,memory
1,1,131072,1024,1,1,0.013513513513513514,8,576,512,128,285212672,1458176,19.534966666666996,19.51783333333325,19.548799999999684,0.0015851916819122206,14.600110502705158,0.07464440686700133,0.18227200000000002,0.9906694491416248,memory
32,32,1024,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.059199999999848,19.05396666666649,19.086866666666452,0.0017262004701121031,478.86613834788835,2.4482471457354125,5.8327040000000006,0.6939691067830734,memory
32,32,4096,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.362266666666805,19.358933333333564,19.378133333333135,0.000991619438473512,471.3707161007286,2.4099261105793226,5.8327040000000006,0.6987592361775846,memory
32,32,8192,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.326899999999824,19.30129999999941,19.332200000000444,0.0015988078792270697,472.23328645566977,2.414336080799323,5.8327040000000006,0.6982079899000847,memory
32,32,16384,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.526399999999867,19.496600000000267,19.538166666666584,0.002128741942514628,467.40850868568,2.389668960996411,5.8327040000000006,0.7012913798754487,memory
32,32,32768,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.44423333333368,19.42713333333341,19.46336666666647,0.0018634488031445393,469.38366494263954,2.399767128900214,5.8327040000000006,0.7000291088874733,memory
32,32,65536,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.477366666666487,19.447499999999604,19.491099999999847,0.002238495621426155,468.58518711462114,2.395684837614963,5.8327040000000006,0.7005393952981296,memory
32,32,131072,1024,32,1,0.43243243243243246,8,576,512,128,9126805504,46661632,19.549899999999994,19.533833333333618,19.590433333333056,0.0028951554739123845,466.84665926679946,2.3867964542018125,5.8327040000000006,0.7016504432247734,memory
64,64,1024,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.68163333333278,20.620833333333806,20.732799999999912,0.005413821281013047,882.6000690467946,4.512373974331613,11.665408000000001,0.4359532532085484,memory
64,64,4096,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.805300000000248,20.742366666665927,20.824499999999645,0.003947712041341185,877.3538957861595,4.485552431351573,11.665408000000001,0.4393059460810533,memory
64,64,8192,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.88743333333327,20.873533333333636,20.935566666667075,0.002969887795378037,873.9039745429097,4.46791439190711,11.665408000000001,0.4415107010116113,memory
64,64,16384,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.94090000000022,20.935499999999912,21.020933333333574,0.004079735509632446,871.6727078587745,4.4565068359048094,11.665408000000001,0.44293664551189876,memory
64,64,32768,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.95789999999998,20.90760000000001,21.035733333333184,0.006113844103329721,870.9656505661358,4.452891940509311,11.665408000000001,0.4433885074363361,memory
64,64,65536,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.94830000000006,20.910933333333528,21.029333333333412,0.0056520099482957175,871.3647889327509,4.454932572094142,11.665408000000001,0.4431334284882322,memory
64,64,131072,1024,64,1,0.8648648648648649,8,576,512,128,18253611008,93323264,20.963133333333495,20.932299999999696,20.988799999999905,0.002695207777473384,870.7482186823149,4.451780300018728,11.665408000000001,0.4435274624976589,memory
74,74,1024,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.224666666666565,21.18920000000051,21.27996666666634,0.004276470772960519,994.3966640072919,5.083944341489486,13.488128,0.3645069573138142,memory
74,74,4096,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.394033333333027,21.386600000000076,21.422966666667424,0.0016998508930377767,986.5244855497235,5.043697105579353,13.488128,0.3695378618025808,memory
74,74,8192,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.529633333332864,21.497566666666696,21.547666666666636,0.002327025231886975,980.3110624890869,5.011930409095171,13.488128,0.37350869886310367,memory
74,74,16384,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.44743333333333,21.409133333333102,21.450666666666677,0.0019365176563587347,984.0682285836846,5.031139266081567,13.488128,0.37110759173980407,memory
74,74,32768,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.543400000000343,21.50833333333271,21.549833333333577,0.0019263440311587873,979.6846239683459,5.008727684580813,13.488128,0.3739090394273984,memory
74,74,65536,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.438933333333246,21.427233333333376,21.50083333333298,0.003433006617226263,984.4583869844312,5.033133986765531,13.488128,0.3708582516543085,memory
74,74,131072,1024,74,1,1.0,8,576,512,128,21105737728,107905024,21.574366666666048,21.56479999999961,21.603233333332874,0.0017814350672292977,978.2784382083339,5.001538430637736,13.488128,0.3748076961702829,memory
128,128,1024,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.49383333333318,40.44803333333278,40.669866666666714,0.005478200384435551,901.5501623539421,4.609258068100922,23.330816000000002,0.42384274148738477,memory
128,128,4096,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.65383333333326,40.62403333333355,40.654800000000186,0.0007567962020793252,898.0019600283713,4.591117557589904,23.330816000000002,0.42611030530126204,memory
128,128,8192,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.78086666666651,40.77016666666609,40.79573333333245,0.000626927987463653,895.204663363378,4.5768161212856535,23.330816000000002,0.42789798483929337,memory
128,128,16384,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.81383333333307,40.79353333333328,40.821366666666776,0.0006819583229582172,894.4815773083528,4.573119277369222,23.330816000000002,0.42836009032884725,memory
128,128,32768,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.79356666666653,40.685800000000185,40.79356666666672,0.002641756420739645,894.9259650255341,4.57539125041777,23.330816000000002,0.42807609369777877,memory
128,128,65536,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,41.012233333333185,40.82986666666696,41.0656333333335,0.005748691244154326,890.1544502412728,4.550996442524889,23.330816000000002,0.43112544468438885,memory
128,128,131072,1024,128,2,0.8648648648648649,8,576,512,128,36507222016,186646528,40.902500000000494,40.86836666666667,40.9419666666668,0.0017994010146111703,892.542558914481,4.563205867611949,23.330816000000002,0.42959926654850633,memory
148,148,1024,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.674633333333304,41.62146666666617,41.70880000000006,0.0020955993214231234,1012.881747953792,5.178451032162655,26.976256,0.35269362097966817,memory
148,148,4096,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.88483333333337,41.85280000000019,41.902033333333094,0.0011754453680426706,1007.7985775917289,5.1524628564834485,26.976256,0.35594214293956894,memory
148,148,8192,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.89553333333363,41.84856666666709,41.968066666666225,0.002852332706886722,1007.5411887026868,5.151146932131153,26.976256,0.35610663348360583,memory
148,148,16384,1024,148,2,1.0,8,576,512,128,42211475456,215810048,42.04696666666651,42.007433333333005,42.13649999999993,0.00306958329931663,1003.912500767003,5.132594931540859,26.976256,0.35842563355739265,memory
148,148,32768,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.974366666666484,41.83789999999949,41.97656666666724,0.003303603548540589,1005.6488949843241,5.14147240657197,26.976256,0.3573159491785038,memory
148,148,65536,1024,148,2,1.0,8,576,512,128,42211475456,215810048,41.86890000000049,41.84636666666701,41.95620000000037,0.002623267707853706,1008.1820983116229,5.154423641413973,26.976256,0.3556970448232534,memory
