stages,bufs,total_cyc,per_iter_cyc,per_iter_ns
2,4,11030290,551.51,280.67
3,4,14127233,706.36,359.47
4,4,13881106,694.06,353.21
5,4,13881200,694.06,353.21
6,4,14401477,720.07,366.45
7,4,14474404,723.72,368.31
