stages,bufs,total_cyc,per_iter_cyc,per_iter_ns
2,1,110300290,551.501,280.662
2,2,110300290,551.501,280.662
2,4,110300290,551.501,280.662
3,1,138601051,693.005,352.674
3,2,138600840,693.004,352.674
3,4,138879352,694.397,353.383
4,1,138601294,693.006,352.675
4,2,138601126,693.006,352.675
4,4,138601121,693.006,352.675
6,1,143202085,716.010,364.382
6,2,143201565,716.008,364.381
